('a', 1.0);('p', 0.96);('w', 0.94);('o', 0.91);('v', 0.88);('b', 0.86);('r', 0.85);('f', 0.85);('t', 0.82);('n', 0.81);('q', 0.81);('g', 0.73);('k', 0.73);('d', 0.71);('s', 0.7);('u', 0.7);('h', 0.65);('z', 0.64);('m', 0.64);('y', 0.64);('e', 0.6);('x', 0.59);('c', 0.58);('l', 0.56);('i', 0.01);('j', 0.0)
('b', 1.0);('r', 0.91);('o', 0.91);('a', 0.87);('v', 0.87);('p', 0.85);('w', 0.85);('f', 0.85);('n', 0.84);('t', 0.84);('d', 0.79);('k', 0.77);('h', 0.75);('q', 0.74);('g', 0.74);('z', 0.7);('s', 0.7);('m', 0.69);('u', 0.68);('x', 0.65);('e', 0.64);('y', 0.62);('c', 0.58);('l', 0.54);('i', 0.01);('j', 0.0)
('c', 1.0);('l', 0.8);('q', 0.69);('g', 0.66);('k', 0.65);('s', 0.64);('u', 0.62);('n', 0.61);('t', 0.61);('p', 0.59);('w', 0.59);('v', 0.58);('a', 0.56);('y', 0.55);('b', 0.54);('o', 0.52);('f', 0.5);('z', 0.5);('r', 0.49);('d', 0.48);('e', 0.48);('h', 0.46);('m', 0.44);('x', 0.42);('i', 0.01);('j', 0.0)
('d', 1.0);('h', 0.95);('m', 0.9);('f', 0.87);('x', 0.87);('z', 0.87);('r', 0.85);('k', 0.85);('n', 0.84);('v', 0.84);('g', 0.83);('e', 0.83);('o', 0.83);('b', 0.82);('s', 0.8);('t', 0.79);('u', 0.79);('p', 0.78);('w', 0.78);('a', 0.76);('y', 0.75);('q', 0.71);('c', 0.6);('l', 0.52);('i', 0.01);('j', 0.0)
('e', 1.0);('x', 0.91);('m', 0.89);('y', 0.88);('u', 0.86);('g', 0.84);('s', 0.84);('z', 0.83);('d', 0.83);('h', 0.82);('k', 0.79);('f', 0.77);('v', 0.76);('n', 0.74);('o', 0.72);('r', 0.72);('w', 0.71);('p', 0.71);('q', 0.69);('t', 0.69);('b', 0.69);('a', 0.68);('c', 0.6);('l', 0.51);('i', 0.01);('j', 0.0)
('f', 1.0);('o', 0.92);('r', 0.92);('v', 0.91);('p', 0.87);('w', 0.87);('a', 0.86);('n', 0.86);('b', 0.86);('d', 0.86);('t', 0.84);('h', 0.81);('g', 0.81);('k', 0.8);('m', 0.8);('z', 0.79);('s', 0.79);('u', 0.78);('q', 0.76);('x', 0.76);('e', 0.75);('y', 0.74);('c', 0.58);('l', 0.54);('i', 0.01);('j', 0.0)
('g', 1.0);('u', 0.91);('s', 0.9);('k', 0.9);('v', 0.84);('y', 0.84);('n', 0.83);('e', 0.83);('d', 0.81);('f', 0.8);('q', 0.8);('m', 0.8);('w', 0.8);('z', 0.8);('p', 0.79);('h', 0.79);('t', 0.78);('x', 0.78);('o', 0.77);('a', 0.75);('r', 0.75);('b', 0.75);('c', 0.71);('l', 0.61);('i', 0.01);('j', 0.0)
('h', 1.0);('d', 0.95);('m', 0.92);('z', 0.9);('x', 0.88);('f', 0.83);('e', 0.83);('k', 0.83);('n', 0.82);('r', 0.82);('g', 0.81);('s', 0.8);('v', 0.8);('b', 0.79);('o', 0.79);('t', 0.78);('u', 0.77);('w', 0.75);('p', 0.74);('y', 0.74);('a', 0.72);('q', 0.68);('c', 0.6);('l', 0.52);('i', 0.0);('j', 0.0)
('i', 1.0);('j', 0.99);('l', 0.31);('q', 0.29);('c', 0.26);('a', 0.22);('p', 0.22);('w', 0.21);('v', 0.18);('b', 0.17);('o', 0.17);('u', 0.16);('t', 0.15);('g', 0.14);('s', 0.14);('y', 0.13);('r', 0.13);('n', 0.12);('f', 0.12);('k', 0.12);('d', 0.06);('e', 0.05);('h', 0.02);('z', 0.02);('m', 0.01);('x', 0.0)
('j', 1.0);('i', 0.99);('l', 0.32);('q', 0.29);('c', 0.26);('a', 0.22);('p', 0.22);('w', 0.22);('b', 0.18);('v', 0.18);('o', 0.16);('u', 0.16);('t', 0.15);('g', 0.14);('s', 0.14);('y', 0.13);('r', 0.13);('n', 0.12);('f', 0.12);('k', 0.12);('d', 0.06);('e', 0.05);('h', 0.02);('z', 0.02);('m', 0.02);('x', 0.0)
('k', 1.0);('g', 0.9);('n', 0.86);('v', 0.85);('d', 0.84);('u', 0.83);('s', 0.82);('h', 0.81);('f', 0.8);('w', 0.8);('t', 0.79);('b', 0.79);('m', 0.78);('o', 0.78);('p', 0.78);('q', 0.78);('r', 0.78);('z', 0.78);('e', 0.77);('x', 0.77);('a', 0.76);('y', 0.76);('c', 0.7);('l', 0.6);('i', 0.01);('j', 0.0)
('l', 1.0);('c', 0.79);('q', 0.59);('t', 0.55);('s', 0.53);('n', 0.51);('p', 0.51);('g', 0.51);('w', 0.51);('a', 0.49);('k', 0.48);('u', 0.46);('v', 0.46);('b', 0.44);('o', 0.44);('y', 0.41);('f', 0.4);('r', 0.39);('z', 0.37);('d', 0.34);('e', 0.32);('h', 0.32);('m', 0.3);('x', 0.25);('i', 0.0);('j', 0.0)
('m', 1.0);('x', 0.94);('h', 0.92);('d', 0.91);('z', 0.91);('e', 0.9);('f', 0.82);('g', 0.82);('s', 0.82);('k', 0.8);('u', 0.8);('y', 0.8);('n', 0.78);('v', 0.78);('r', 0.78);('o', 0.76);('t', 0.75);('b', 0.74);('w', 0.74);('p', 0.73);('a', 0.71);('q', 0.68);('c', 0.58);('l', 0.51);('i', 0.0);('j', 0.0)
('n', 1.0);('t', 0.93);('f', 0.86);('o', 0.86);('r', 0.86);('v', 0.86);('k', 0.86);('b', 0.85);('p', 0.85);('w', 0.85);('g', 0.84);('a', 0.83);('d', 0.82);('s', 0.81);('h', 0.8);('z', 0.8);('q', 0.77);('m', 0.76);('u', 0.76);('e', 0.71);('x', 0.71);('y', 0.7);('c', 0.68);('l', 0.62);('i', 0.01);('j', 0.0)
('o', 1.0);('r', 0.94);('f', 0.92);('a', 0.91);('p', 0.91);('b', 0.91);('v', 0.9);('w', 0.9);('n', 0.86);('t', 0.86);('d', 0.8);('k', 0.77);('g', 0.76);('q', 0.76);('h', 0.75);('s', 0.74);('z', 0.73);('m', 0.72);('u', 0.72);('e', 0.68);('x', 0.68);('y', 0.67);('c', 0.58);('l', 0.54);('i', 0.01);('j', 0.0)
